"","ID","Station Name","Street Address","Location","geometry"
"213",152270,"University of Illinois - 760 W Taylor St","760 W Taylor St","(41.864511, -87.645224)",c(-87.645224, 41.864511)
"214",256376,"MDWTPGLV1 TPG-02","5700 S Cicero Ave","(41.787331, -87.74009)",c(-87.74009, 41.787331)
"215",78523,"540 W. MADISON LL1-4","13 N Jefferson St","(41.882368, -87.642179)",c(-87.642179, 41.882368)
"216",114164,"640 N LaSalle Parking Garage - Tesla Destination","640 N LaSalle St","(41.8936252, -87.6334239)",c(-87.6334239, 41.8936252)
"217",211955,"ZOE LIFE 400 2N DUAL","428-400 N Aberdeen St","(41.889536, -87.654691)",c(-87.654691, 41.889536)
"218",173547,"UNITED ORD LOT UNITED 4","5600 Bessie Coleman Dr","(41.98125, -87.888829)",c(-87.888829, 41.98125)
"219",185394,"MILLENNIUM GRGS MPG PILOT #2","5 S Columbus Dr","(41.88261, -87.620989)",c(-87.620989, 41.88261)
"220",165808,"UIC 1100 West Harrison","1100 West Harrison","(41.874817, -87.665107)",c(-87.665107, 41.874817)
"221",205057,"INTERPARK 181N DEARBORN 2","181 N Dearborn St","(41.885269, -87.629114)",c(-87.629114, 41.885269)
"222",167702,"UIC 1100 Wood Street","1100 South Wood Street","(41.867904, -87.67315)",c(-87.67315, 41.867904)
